bhk,size,floor,area_type,city,furnishing_status,tenant_preferred,bathroom,point_of_contact
2,1000,Ground out of 2,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2,980,1 out of 4,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
2,900,3 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
3,1050,16 out of 31,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent
3,1250,2 out of 5,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
2,1300,1 out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
3,2110,3 out of 4,Carpet Area,Bangalore,Unfurnished,Bachelors,3,Contact Agent
1,250,1 out of 2,Super Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
3,1050,Ground out of 4,Carpet Area,Delhi,Unfurnished,Family,2,Contact Agent
2,850,4 out of 7,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
3,1475,1 out of 4,Super Area,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
2,650,2 out of 6,Carpet Area,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
2,1000,Ground out of 3,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
2,500,4 out of 4,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Owner
1,600,1 out of 2,Carpet Area,Chennai,Unfurnished,Family,1,Contact Owner
2,650,Ground out of 3,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2,900,Ground out of 2,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
1,300,Ground out of 3,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
3,1625,8 out of 11,Super Area,Chennai,Furnished,Bachelors/Family,3,Contact Agent
1,435,3 out of 7,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1,580,3 out of 3,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
1,400,2 out of 2,Carpet Area,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2,650,3 out of 4,Carpet Area,Mumbai,Unfurnished,Family,2,Contact Agent
1,400,1 out of 5,Carpet Area,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3,1350,12 out of 20,Carpet Area,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent
3,1030,10 out of 14,Carpet Area,Mumbai,Furnished,Family,3,Contact Agent
2,650,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Owner
2,60,2 out of 4,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
3,1250,1 out of 2,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3,900,2 out of 4,Carpet Area,Delhi,Unfurnished,Bachelors,2,Contact Owner
2,380,1 out of 1,Super Area,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2,1000,2 out of 3,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner
